# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dens[1]-dens[1]        7:dens[1]-dens[2]        8:dens[2]-dens[2]        9:dens[2]-dens[3]       10:dens[3]-dens[3]       11:T-dens[1]             12:T-dens[2]             13:T-dens[3]          
  571       2.420383942861e+03       1.140570962122e+01       0.000000000000e+00       2.155835899733e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  572       2.413607806091e+03       1.162584982073e+01       0.000000000000e+00       2.231683248046e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  573       2.406691429345e+03       1.184992685744e+01       0.000000000000e+00       2.304985464720e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  574       2.399638906577e+03       1.207787176694e+01       0.000000000000e+00       2.375680953973e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  575       2.392454397983e+03       1.230961429236e+01       0.000000000000e+00       2.443707576416e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  576       2.385142130306e+03       1.254508287830e+01       0.000000000000e+00       2.509002647176e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  577       2.377706397125e+03       1.278420466478e+01       0.000000000000e+00       2.571502934009e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  578       2.370151559154e+03       1.302690548126e+01       0.000000000000e+00       2.631144655420e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  579       2.362482044537e+03       1.327310984056e+01       0.000000000000e+00       2.687863478784e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  580       2.354702349142e+03       1.352274093284e+01       0.000000000000e+00       2.741594518458e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  581       2.346817036861e+03       1.377572061960e+01       0.000000000000e+00       2.792272333906e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  582       2.338830739901e+03       1.403196942757e+01       0.000000000000e+00       2.839830927811e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  583       2.330747981344e+03       1.429140533038e+01       0.000000000000e+00       2.884213954270e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  584       2.322572637342e+03       1.455394007207e+01       0.000000000000e+00       2.925405627349e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  585       2.314308462074e+03       1.481948273977e+01       0.000000000000e+00       2.963400580950e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  586       2.305959264492e+03       1.508794096135e+01       0.000000000000e+00       2.998193730335e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  587       2.297528908565e+03       1.535922089895e+01       0.000000000000e+00       3.029780273836e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  588       2.289021313502e+03       1.563322724250e+01       0.000000000000e+00       3.058155694575e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  589       2.280440453991e+03       1.590986320330e+01       0.000000000000e+00       3.083315762180e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  590       2.271790360432e+03       1.618903050752e+01       0.000000000000e+00       3.105256534499e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  591       2.263075119166e+03       1.647062938978e+01       0.000000000000e+00       3.123974359321e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  592       2.254298872713e+03       1.675455858663e+01       0.000000000000e+00       3.139465876090e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  593       2.245465820003e+03       1.704071533016e+01       0.000000000000e+00       3.151728017621e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  594       2.236580216606e+03       1.732899534148e+01       0.000000000000e+00       3.160758011821e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  595       2.227646374971e+03       1.761929282431e+01       0.000000000000e+00       3.166553383398e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  596       2.218668664654e+03       1.791150045846e+01       0.000000000000e+00       3.169111955586e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  597       2.209651512555e+03       1.820550939345e+01       0.000000000000e+00       3.168431851856e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  598       2.200599403147e+03       1.850120924197e+01       0.000000000000e+00       3.164511497635e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  599       2.191516878712e+03       1.879848807345e+01       0.000000000000e+00       3.157349622021e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  600       2.182408539573e+03       1.909723240764e+01       0.000000000000e+00       3.146945259502e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  601       2.173279044329e+03       1.939732720808e+01       0.000000000000e+00       3.133297751671e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  602       2.164133110084e+03       1.969865587567e+01       0.000000000000e+00       3.116406748943e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  603       2.154975512684e+03       2.000110024224e+01       0.000000000000e+00       3.096272212272e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  604       2.145811086947e+03       2.030454056404e+01       0.000000000000e+00       3.072894414866e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  605       2.136644726899e+03       2.060885551530e+01       0.000000000000e+00       3.046273943908e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  606       2.127481386005e+03       2.091392218180e+01       0.000000000000e+00       3.016411702266e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  607       2.118326077403e+03       2.121961605434e+01       0.000000000000e+00       2.983308910215e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  608       2.109183874135e+03       2.152581102234e+01       0.000000000000e+00       2.946967107153e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  609       2.100059909385e+03       2.183237936737e+01       0.000000000000e+00       2.907388153315e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  610       2.090959376706e+03       2.213919175666e+01       0.000000000000e+00       2.864574231492e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  611       2.081887530257e+03       2.244611723668e+01       0.000000000000e+00       2.818527848747e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  612       2.072849685036e+03       2.275302322663e+01       0.000000000000e+00       2.769251838131e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  613       2.063851217110e+03       2.305977551204e+01       0.000000000000e+00       2.716749360400e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  614       2.054897563851e+03       2.336623823826e+01       0.000000000000e+00       2.661023905733e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  615       2.045994224170e+03       2.367227390402e+01       0.000000000000e+00       2.602079295446e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  616       2.037146758744e+03       2.397774335497e+01       0.000000000000e+00       2.539919683712e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  617       2.028360790257e+03       2.428250577722e+01       0.000000000000e+00       2.474549559275e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  618       2.019642003629e+03       2.458641869086e+01       0.000000000000e+00       2.405973747167e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  619       2.010996146247e+03       2.488933794354e+01       0.000000000000e+00       2.334197410425e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  620       2.002429028203e+03       2.519111770397e+01       0.000000000000e+00       2.259226051808e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  621       1.993946522524e+03       2.549161045548e+01       0.000000000000e+00       2.181065515515e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  622       1.985553977063e+03       2.579067769842e+01       0.000000000000e+00       2.099727618083e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  623       1.977254434580e+03       2.608822234573e+01       0.000000000000e+00       2.015247182468e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  624       1.969050371426e+03       2.638415707346e+01       0.000000000000e+00       1.927665406390e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  625       1.960944282162e+03       2.667839367750e+01       0.000000000000e+00       1.837024272719e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  626       1.952938679611e+03       2.697084307044e+01       0.000000000000e+00       1.743366552940e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  627       1.945036094909e+03       2.726141527835e+01       0.000000000000e+00       1.646735810609e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  628       1.937239077551e+03       2.755001943775e+01       0.000000000000e+00       1.547176404813e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  629       1.929550195451e+03       2.783656379237e+01       0.000000000000e+00       1.444733493630e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  630       1.921972034982e+03       2.812095569006e+01       0.000000000000e+00       1.339453037592e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  631       1.914507201038e+03       2.840310157961e+01       0.000000000000e+00       1.231381803138e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  632       1.907158317075e+03       2.868290700766e+01       0.000000000000e+00       1.120567366083e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  633       1.899928025167e+03       2.896027661549e+01       0.000000000000e+00       1.007058115070e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  634       1.892818986058e+03       2.923511413591e+01       0.000000000000e+00       8.909032550328e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  635       1.885833879209e+03       2.950732239012e+01       0.000000000000e+00       7.721528106570e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  636       1.878975402852e+03       2.977680328457e+01       0.000000000000e+00       6.508576298381e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  637       1.872246274038e+03       3.004345780778e+01       0.000000000000e+00       5.270693871423e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  638       1.865649228691e+03       3.030718602724e+01       0.000000000000e+00       4.008405872659e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  639       1.859187021658e+03       3.056788708623e+01       0.000000000000e+00       2.722245684952e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  640       1.852862426756e+03       3.082545920070e+01       0.000000000000e+00       1.412755061667e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  641       1.846678236830e+03       3.107979965612e+01       0.000000000000e+00       8.048416126589e-02       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  642       1.840637263798e+03       3.133080480433e+01       0.000000000000e+00      -1.274008418093e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  643       1.834742338704e+03       3.157837006040e+01       0.000000000000e+00      -2.650155603954e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  644       1.828996311769e+03       3.182238989948e+01       0.000000000000e+00      -4.047381814971e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  645       1.823402052441e+03       3.206275785369e+01       0.000000000000e+00      -5.465102926302e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  646       1.817962449448e+03       3.229936650890e+01       0.000000000000e+00      -6.902726235016e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  647       1.812680410845e+03       3.253210750166e+01       0.000000000000e+00      -8.359650425492e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  648       1.807558864070e+03       3.276087151604e+01       0.000000000000e+00      -9.835265534821e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  649       1.802600755989e+03       3.298554828045e+01       0.000000000000e+00      -1.132895291821e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  650       1.797809052952e+03       3.320602656453e+01       0.000000000000e+00      -1.284008521437e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  651       1.793186740842e+03       3.342219417601e+01       0.000000000000e+00      -1.436802631094e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  652       1.788736825124e+03       3.363393795753e+01       0.000000000000e+00      -1.591213130987e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  653       1.784462330900e+03       3.384114378353e+01       0.000000000000e+00      -1.747174649285e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  654       1.780366302955e+03       3.404369655709e+01       0.000000000000e+00      -1.904620928664e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  655       1.776451805812e+03       3.424148020679e+01       0.000000000000e+00      -2.063484822858e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  656       1.772721923779e+03       3.443437768359e+01       0.000000000000e+00      -2.223698293190e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  657       1.769179761005e+03       3.462227095761e+01       0.000000000000e+00      -2.385192405116e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  658       1.765828441526e+03       3.480504101509e+01       0.000000000000e+00      -2.547897324766e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  659       1.762671109318e+03       3.498256785516e+01       0.000000000000e+00      -2.711742315480e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  660       1.759710928348e+03       3.515473048674e+01       0.000000000000e+00      -2.876655734353e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  661       1.756950490674e+03       3.532142352739e+01       0.000000000000e+00      -3.042567221357e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  662       1.754390026322e+03       3.548260740804e+01       0.000000000000e+00      -3.209414326703e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  663       1.752029154033e+03       3.563825926912e+01       0.000000000000e+00      -3.377136022784e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  664       1.749867469530e+03       3.578835646026e+01       0.000000000000e+00      -3.545670521964e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  665       1.747904545405e+03       3.593287654164e+01       0.000000000000e+00      -3.714955273726e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  666       1.746139931010e+03       3.607179728545e+01       0.000000000000e+00      -3.884926961809e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  667       1.744573152342e+03       3.620509667725e+01       0.000000000000e+00      -4.055521501350e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  668       1.743203711933e+03       3.633275291743e+01       0.000000000000e+00      -4.226674036029e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  669       1.742031088740e+03       3.645474442256e+01       0.000000000000e+00      -4.398318935207e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  670       1.741054738032e+03       3.657104982686e+01       0.000000000000e+00      -4.570389791066e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  671       1.740274091279e+03       3.668164798356e+01       0.000000000000e+00      -4.742819415756e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  672       1.739688556039e+03       3.678651796634e+01       0.000000000000e+00      -4.915539838531e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  673       1.739297515849e+03       3.688563907073e+01       0.000000000000e+00      -5.088482302892e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  674       1.739100330114e+03       3.697899081549e+01       0.000000000000e+00      -5.261577263730e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  675       1.739096333991e+03       3.706655294408e+01       0.000000000000e+00      -5.434754384467e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  676       1.739284838283e+03       3.714830542601e+01       0.000000000000e+00      -5.607942534197e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  677       1.739665129324e+03       3.722422845828e+01       0.000000000000e+00      -5.781069784824e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  678       1.740236468868e+03       3.729430246676e+01       0.000000000000e+00      -5.954063408210e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  679       1.740998093980e+03       3.735850810766e+01       0.000000000000e+00      -6.126849873311e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
  680       1.741949216921e+03       3.741682626887e+01       0.000000000000e+00      -6.299354843323e+01       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
